,,,Company Info,,,,,,,,,,,,Address,,,,Login Info,,BILLING,,,,,,,,ADMIN,,,,,,,,TECHNICAL,,,,,,,
10,671,"Deputy Commissioner, Feni",www.feni.gob.bd,Govt.,Organization,dcfeni@mopa.gov.bd,1411111120,33174000,Not_Found10,NID_Not_Found10,TIN_Not_Found10,TL_Not_Found10,,2,Bangladesh,Feni,,"Deputy Commissioner, Feni",DCFeni,DCFeni,"Deputy Commissioner, Feni",,dcfeni@mopa.gov.bd,33174000,,Feni,,"Deputy Commissioner, Feni","Deputy Commissioner, Feni",,dcfeni@mopa.gov.bd,,,Feni,,Feni,,,,,,,,
11,683,"Deputy Commissioner, Naogaon",www.naogaon.gov.bd,Govt.,Organization,dcnaogaon@mopa.gov.bd,1411111121,74162322,Not_Found11,NID_Not_Found11,TIN_Not_Found11,TL_Not_Found11,,2,Bangladesh,Naogaon,,"Deputy Commissioner, Naogaon",dcnaogaon,dcnaogaon,"Deputy Commissioner, Naogaon",,dcnaogaon@mopa.gov.bd,74162322,74163000,Naogaon,,"Deputy Commissioner, Naogaon","Deputy Commissioner, Naogaon",,dcnaogaon@mopa.gov.bd,,,Naogaon,,"Deputy Commissioner, Naogaon",,,,,,,,
12,678,"Deputy Commissioner, Dinajpur",www.dinajpur.gov.bd,Govt.,Organization,dcdinajpur@mopa.gov.bd,1411111122,53165001,Not_Found12,NID_Not_Found12,TIN_Not_Found12,TL_Not_Found12,,2,Bangladesh,Dinajpur,,"Deputy Commissioner, Dinajpur",dcdinajpur,dcdinajpur,"Deputy Commissioner, Dinajpur",,dcdinajpur@mopa.gov.bd,53165001,,Dinajpur,,"Deputy Commissioner, Dinajpur","Deputy Commissioner, Dinajpur",,dcdinajpur@mopa.gov.bd,,,Dinajpur,,"Deputy Commissioner, Dinajpur",,,,,,,,
13,684,"Deputy Commissionar, Pabna",www.pabna.gov.bd,Govt.,Organization,dcpabna@mopa.gov.bd,1411111123,73165499,Not_Found13,NID_Not_Found13,TIN_Not_Found13,TL_Not_Found13,,2,Bangladesh,Pabna,,"Deputy Commissioner, Pabna",dcpabna,,"Deputy Commissioner, Pabna",,dcpabna@mopa.gov.bd,73165499,,Pabna,,"Deputy Commissioner, Pabna","Deputy Commissionar, Pabna",,dcpabna@mopa.gov.bd,73165499,,Pabna,,"Deputy Commissionar, Pabna",,,,,,,,
14,673,"Deputy Commissionar, Lalmonirhat",www.lalmonirhat.gov.bd,Govt.,Organization,dclalmonirhat@mopa.gov.bd,1411111124,59162020,Not_Found14,NID_Not_Found14,TIN_Not_Found14,TL_Not_Found14,,2,Bangladesh,Lalmonirhat,,"Deputy Commissionar, Lalmonirhat",dclalmonirhat,dclalmonirhat,"Deputy Commissionar, Lalmonirhat",,dclalmonirhat@mopa.gov.bd,59162020,59162021,Lalmonirhat,,"Deputy Commissioner, Lalmonirhat","Deputy Commissionar, Lalmonirhat",,dclalmonirhat@mopa.gov.bd,59162020,,Lalmonirhat,,"Deputy Commissionar, Lalmonirhat",,,,,,,,
15,668,"Deputy Commissionar, Chittagong",www.chittagong.gov.bd,Govt.,Organization,dcchittagong@mopa.gov.bd,1411111125,31619996,Not_Found15,NID_Not_Found15,TIN_Not_Found15,TL_Not_Found15,,2,Bangladesh,Chittagong,,"Deputy Commissionar, Chittagong",dcchittagong,dcchittagong,"Deputy Commissionar, Chittagong",,dcchittagong@mopa.gov.bd,31619996,31635272,Chittagong,,"Deputy Commissionar, Chittagong","Deputy Commissionar, Chittagong",,dcchittagong@mopa.gov.bd,31619996,,Chittagong,,"Deputy Commissionar, Chittagong",,,,,,,,
16,666,"Deputy Commissionar, Nilphamari",www.nilphamari.gov.bd,Govt.,Organization,dcnilphamari@mopa.gov.bd,1411111126,55161329,Not_Found16,NID_Not_Found16,TIN_Not_Found16,TL_Not_Found16,,2,Bangladesh,Nilphamari,,"Deputy Commissionar, Nilphamari",dcnilphamari,dcnilphamari,"Deputy Commissionar, Nilphamari",,dcnilphamari@mopa.gov.bd,55161329,55161312,Nilphamari,,"Deputy Commissionar, Nilphamari","Deputy Commissionar, Nilphamari",,dcnilphamari@mopa.gov.bd,55161329,,Nilphamari,,"Deputy Commissionar, Nilphamari",,,,,,,,
17,667,"Deputy Commissionar, Rangamati",www.rangamati.gov.bd,Govt.,Organization,dcrangamati@mopa.gov.bd,1411111127,35162211,Not_Found17,NID_Not_Found17,TIN_Not_Found17,TL_Not_Found17,,2,Bangladesh,Rangamati,4500,"Deputy Commissionar, Rangamati",dcrangamati,dcrangamati,"Deputy Commissionar, Rangamati",,dcrangamati@mopa.gov.bd,35162211,35163020,Rangamati,,"Deputy Commissionar, Rangamati","Deputy Commissionar, Rangamati",,dcrangamati@mopa.gov.bd,35162211,,Rangamati,,"Deputy Commissionar, Rangamati",,,,,,,,
18,662,"Deputy Commissionar, Kishoreganj",www.kishoreganj.gov.bd,Govt.,Organization,dckishoreganj@mopa.gov.bd,1411111128,94161755,Not_Found18,NID_Not_Found18,TIN_Not_Found18,TL_Not_Found18,,2,Bangladesh,Kishoreganj,,"Deputy Commissionar, Kishoreganj",dckishoreganj,dckishoreganj,"Deputy Commissionar, Kishoreganj",,dckishoreganj@mopa.gov.bd,94161755,94161722,Kishoreganj,,"Deputy Commissionar, Kishoreganj","Deputy Commissionar, Kishoreganj",,dckishoreganj@mopa.gov.bd,94161755,,Kishoreganj,,"Deputy Commissionar, Kishoreganj",,,,,,,,
19,659,"Deputy Commissionar, Patuakhali",www.patuakhali.gov.bd,Govt.,Organization,dcpatuakhali@mopa.gov.bd,1411111129,44162300,Not_Found19,NID_Not_Found19,TIN_Not_Found19,TL_Not_Found19,,2,Bangladesh,Patuakhali,,"Deputy Commissionar, Patuakhali",dcpatuakhali,dcpatuakhali,"Deputy Commissionar, Patuakhali",,dcpatuakhali@mopa.gov.bd,44162300,,Patuakhali,,"Deputy Commissionar, Patuakhali","Deputy Commissionar, Patuakhali",,dcpatuakhali@mopa.gov.bd,44162300,,Patuakhali,,"Deputy Commissionar, Patuakhali",,,,,,,,
20,687,"Deputy Commissionar, Narayanganj",www.narayanganj.gov.bd,Govt.,Organization,dcnarayanganj@mopa.gov.bd,1411111130,27646644,Not_Found20,NID_Not_Found20,TIN_Not_Found20,TL_Not_Found20,,2,Bangladesh,Narayanganj,,"Deputy Commissionar, Narayanganj",dcnarayanganj,dcnarayanganj,"Deputy Commissionar, Narayanganj",,dcnarayanganj@mopa.gov.bd,27646644,,Narayanganj,,"Deputy Commissionar, Narayanganj","Deputy Commissionar, Narayanganj",,dcnarayanganj@mopa.gov.bd,27646644,,Narayanganj,,"Deputy Commissionar, Narayanganj",Asst.Programmer,,,1630380029,,Narayanganj,,"Deputy Commissionar, Narayanganj"
21,681,"Deputy Commissionar, Chandpur",www.chandpur.gov.bd,Govt.,Organization,dcchandpur@mopa.govl.bd,1411111131,84163111,Not_Found21,NID_Not_Found21,TIN_Not_Found21,TL_Not_Found21,,2,Bangladesh,Chandpur,3600,"Deputy Commissionar, Chandpur",dcchandpur,dcchandpur,"Deputy Commissionar, Chandpur",,dcchandpur@mopa.gov.bd,84163111,84163333,Chandpur,,"Deputy Commissionar, Chandpur","Deputy Commissionar, Chandpur",,dcchandpur@mopa.gov.bd,84163111,,Chandpur,,"Deputy Commissionar, Chandpur",,,,,,,,
22,682,"Deputy Commissionar, panchagarh",www.panchagarh.gov.bd,Govt.,Organization,dcpanchagarh@mopa.gov.bd,1411111132,56861200,Not_Found22,NID_Not_Found22,TIN_Not_Found22,TL_Not_Found22,,2,Bangladesh,panchagarh,,"Deputy commissioner office, panchagarh",dcopanchagarh,dcopanchagarh,"Deputy Commissionar, panchagarh",,dcpanchagarh@mopa.gov.bd,56861200,0,panchagarh,,"Deputy commissioner office, panchagarh","Deputy Commissionar, panchagarh",,dcpanchagarh@mopa.gov.bd,56861200,,panchagarh,,"Deputy commissioner office, panchagarh",,,,,,,,
23,685,"Deputy Commissionar,thakurgaon",www.thakurgaon.gov.bd,Govt.,Organization,dcthakurgaon@mopa.gov.bd,1411111133,56152011,Not_Found23,NID_Not_Found23,TIN_Not_Found23,TL_Not_Found23,,2,Bangladesh,thakurgaon,,"Deputy commissioner office, thakurgaon",dcothakurgaon,dcothakurgaon,"Deputy Commissionar,thakurgaon",,dcthakurgaon@mopa.gov.bd,56152011,56153601,thakurgaon,,"Deputy commissioner office, thakurgaon","Deputy Commissionar,thakurgaon",,dcthakurgaon@mopa.gov.bd,56152011,,thakurgaon,,"Deputy commissioner office, thakurgaon",,,,,,,,
24,680,"Deputy Commissionar, lakshmipur",www.lakshmipur.gov.bd,Govt.,Organization,dclakshmipur@mopa.gov.bd,1411111134,,Not_Found24,NID_Not_Found24,TIN_Not_Found24,TL_Not_Found24,,2,Bangladesh,lakshmipur,,"Deputy commissioner office, lakshmipur",dcolakshmipur,dcolakshmipur,"Deputy Commissionar, lakshmipur",,dclakshmipur@mopa.gov.bd,0,0,lakshmipur,,"Deputy commissioner office, lakshmipur","Deputy Commissionar, lakshmipur",,dclakshmipur@mopa.gov.bd,0,,lakshmipur,,"Deputy commissioner office, lakshmipur",,,,,,,,
25,679,"Deputy Commissionar, khulna",www.khulna.gov.bd,Govt.,Organization,dckhulna@mopa.gov.bd,1411111135,41721111,Not_Found25,NID_Not_Found25,TIN_Not_Found25,TL_Not_Found25,,2,Bangladesh,khulna,,"Deputy commissioner office, khulna",dckhulna,dckhulna,"Deputy Commissionar, khulna",,dckhulna@mopa.gov.bd,41721111,41731750,khulna,,"Deputy commissioner office, khulna","Deputy Commissionar, khulna",,dckhulna@mopa.gov.bd,41721111,,khulna,,"Deputy commissioner office, khulna",,,,,,,,
26,669,"Deputy Commissionar, joypurhat",www.joypurhat.gov.bd,Govt.,Organization,dcjoypurhat@mopa.gov.bd,1411111136,57162208,Not_Found26,NID_Not_Found26,TIN_Not_Found26,TL_Not_Found26,,2,Bangladesh,joypurhat,,"Deputy commissioner office, joypurhat",dcjoypurhat,dcjoypurhat,"Deputy Commissionar, joypurhat",,dcjoypurhat@mopa.gov.bd,57162208,57162546,joypurhat,,"Deputy commissioner office, joypurhat","Deputy Commissionar, joypurhat",,dcjoypurhat@mopa.gov.bd,57162208,,joypurhat,,"Deputy commissioner office, joypurhat",,,,,,,,
27,705,"Divisional Commissioner, barisal",www.barisal.gov.bd,Govt.,Organization,divcombarisal@mopa.gov.bd,1411111137,0431-63433,Not_Found27,NID_Not_Found27,TIN_Not_Found27,TL_Not_Found27,,2,Bangladesh,barisal,8205,"Divisional commissioner's office, Kashipur, Barisal",divicb,divicb,"Divisional Commissioner, barisal",,divcombarisal@mopa.gov.bd,0431-63433,0431-64821,barisal,8205,"Divisional commissioner's office, Kashipur, Barisal","Divisional Commissioner, barisal",,divcombarisal@mopa.gov.bd,,,barisal,,"Divisional commissioner's office, Kashipur, Barisal","Divisional Commissioner, barisal",,divcombarisal@mopa.gov.bd,0431-63433,0431-64821,barisal,8205,"Divisional commissioner's office, Kashipur, Barisal"
28,705,"Deputy Commissioner, barisal",www.barisal.gov.bd,Govt.,Organization,dcbarisal@mopa.gov.bd,1411111138,0431-64741,Not_Found28,NID_Not_Found28,TIN_Not_Found28,TL_Not_Found28,,2,Bangladesh,barisal,,"Deputy commissioner office, barisal",dcbari,dcbari,"Deputy Commissioner, barisal",,dcbarisal@mopa.gov.bd,0431-64741,0,barisal,0,"Deputy Commissioner, barisal","Deputy Commissioner, barisal",,dcbarisal@mopa.gov.bd,,,barisal,,"Deputy commissioner office, barisal","Deputy Commissioner, barisal",,dcbarisal@mopa.gov.bd,0431-64741,0,barisal,0,"Deputy commissioner office, barisal"
29,660,"Deputy Commissioner, manikganj",www.manikganj.gov.bd,Govt.,Organization,dcmanikganj@mopa.gov.bd,1411111139,7710395,Not_Found29,NID_Not_Found29,TIN_Not_Found29,TL_Not_Found29,,2,Bangladesh,manikganj,,"Deputy commissioner office, manikganj",dcmanikganj,dcmanikganj,"Deputy Commissioner, manikganj",,dcmanikganj@mopa.gov.bd,7710395,0,manikganj,0,"Deputy Commissioner, manikganj","Deputy Commissioner, manikganj",,dcmanikganj@mopa.gov.bd,,,manikganj,,"Deputy commissioner office, manikganj","Deputy Commissioner, manikganj",,dcmanikganj@mopa.gov.bd,7710395,0,manikganj,0,"Deputy commissioner office, manikganj"
30,677,"Deputy Commissioner, rangpur",www.rangpur.gov.bd,Govt.,Organization,dcrangpur@mopa.gov.bd,1411111140,0521-62121,Not_Found30,NID_Not_Found30,TIN_Not_Found30,TL_Not_Found30,,2,Bangladesh,rangpur,,"Deputy commissioner office, rangpur",depcrang,depcrang,"Deputy Commissioner, rangpur",,dcrangpur@mopa.gov.bd,0521-62121,0,rangpur,0,"Deputy Commissioner, rangpur","Deputy Commissioner, rangpur",,dcrangpur@mopa.gov.bd,,,rangpur,,"Deputy commissioner office, rangpur","Deputy Commissioner, rangpur",,dcrangpur@mopa.gov.bd,0521-62121,0,rangpur,0,"Deputy commissioner office, rangpur"
31,676,"Deputy Commissioner, bhola",www.bhola.gov.bd,Govt.,Organization,dcbhola@mopa.gov.bd,1411111141,0491-62400,Not_Found31,NID_Not_Found31,TIN_Not_Found31,TL_Not_Found31,,2,Bangladesh,bhola,,"Deputy commissioner office, bhola",,,"Deputy Commissioner, bhola",,dcbhola@mopa.gov.bd,0491-62400,0491-62626,bhola,0,"Deputy Commissioner, bhola","Deputy Commissioner, bhola",,dcbhola@mopa.gov.bd,,,bhola,,"Deputy commissioner office, bhola","Deputy Commissioner, bhola",,dcbhola@mopa.gov.bd,0491-62400,0491-62626,bhola,0,"Deputy commissioner office, bhola"
32,672,"Deputy Commissioner, bagerhat",www.bagerhat.gov.bd,Govt.,Organization,dcbagerhat@mopa.gov.bd,1411111142,0468-62515,Not_Found32,NID_Not_Found32,TIN_Not_Found32,TL_Not_Found32,,2,Bangladesh,bagerhat,9300,"Deputy commissioner office, bagerhat",,,"Deputy Commissioner, bagerhat",,dcbagerhat@mopa.gov.bd,0468-62515,0468-62133,bagerhat,9300,"Deputy Commissioner, bagerhat","Deputy Commissioner, bagerhat",,dcbagerhat@mopa.gov.bd,,,bagerhat,,"Deputy commissioner office, bagerhat","AC, ICT, DC office, bagerhat",,dcbagerhat@mopa.gov.bd,0468-62515,0468-62133,bagerhat,9300,"Deputy commissioner office, bagerhat"
33,691,"Deputy Commissionar, jamalpur",www.jamalpur.gov.bd,Govt.,Organization,dcjamalpur@mopa.gov.bd,1411111143,98163137,Not_Found33,NID_Not_Found33,TIN_Not_Found33,TL_Not_Found33,,2,Bangladesh,jamalpur,2000,"Deputy commissioner office, jamalpur",,,"Deputy Commissionar, jamalpur",,dcjamalpur@mopa.gov.bd,98163137,98163411,jamalpur,2000,"Deputy commissioner office, jamalpur",Md. Shafiqur Rahman,,dcjamalpur@mopa.gov.bd,98163137,,jamalpur,,"Deputy commissioner office, jamalpur",Habibullah,,dcjamalpur@mopa.gov.bd,1716592072,98163411,jamalpur,2000,"Deputy comissioner office, jamalpur"
34,694,"Deputy Commissionar, habiganj",www.habiganj.gov.bd,Govt.,Organization,dchabiganj@mopa.gov.bd,1411111144,1715109939,Not_Found34,NID_Not_Found34,TIN_Not_Found34,TL_Not_Found34,,2,Bangladesh,habiganj,,"Deputy commissioner office, habiganj",,,"Deputy Commissionar, habiganj",,dchabiganj@mopa.gov.bd,1715109939,83161205,habiganj,,"Deputy commissioner office, habiganj","Deputy Commissionar, habiganj",,dchabiganj@mopa.gov.bd,1715109939,,habiganj,,"Deputy commissioner office, habiganj","Deputy comissioner, habiganj",,dchabiganj@mopa.gov.bd,1715109939,83161205,habiganj,,"Deputy comissioner office, habiganj"
35,693,"Deputy Commissionar, gazipur",www.gazipur.gov.bd,Govt.,Organization,dcgazipur@mopa.gov.bd,1411111145,249273070,Not_Found35,NID_Not_Found35,TIN_Not_Found35,TL_Not_Found35,,2,Bangladesh,gazipur,,"Deputy commissioner office, gazipur",,,"Deputy Commissionar, gazipur",,dcgazipur@mopa.gov.bd,249273070,249273022,gazipur,,"Deputy commissioner office, gazipur","Deputy Commissionar, gazipur",,dcgazipur@mopa.gov.bd,249273070,,gazipur,,"Deputy commissioner office, gazipur",,,,,,,,
36,695,"Deputy Commissionar, moulvibazar",www.moulvibazar.gov.bd,Govt.,Organization,dcmoulvibazar@mopa.gov.bd,1411111146,86163202,Not_Found36,NID_Not_Found36,TIN_Not_Found36,TL_Not_Found36,,2,Bangladesh,moulvibazar,,"Deputy commissioner office, moulvibazar",,,"Deputy Commissionar, moulvibazar",,dcmoulvibazar@mopa.gov.bd,86163202,0,moulvibazar,,"Deputy commissioner office, moulvibazar","Deputy Commissionar, moulvibazar",,dcmoulvibazar@mopa.gov.bd,86163202,,moulvibazar,,"Deputy commissioner office, moulvibazar",,,,,,,,
37,704,"Deputy Commissionar, jhalakathi",www.jhalakathi.gov.bd,Govt.,Organization,dcjhalakathi@mopa.gov.bd,1411111147,49863300,Not_Found37,NID_Not_Found37,TIN_Not_Found37,TL_Not_Found37,,2,Bangladesh,jhalakathi,,"Deputy commissioner office, jhalakathi",dcojhalakathi,dcojhalakathi,"Deputy Commissionar, jhalakathi",,dcjhalakathi@mopa.gov.bd,49863300,0,jhalakathi,,"Deputy commissioner office, jhalakathi","Deputy Commissionar, jhalakathi",,dcjhalakathi@mopa.gov.bd,49863300,,jhalakathi,,"Deputy commissioner office, jhalakathi",,,,,,,,
38,708,"Deputy Commissionar, munshiganj",www.munshiganj.gov.bd,Govt.,Organization,dcmunshiganj@mopa.gov.bd,1411111148,7611100,Not_Found38,NID_Not_Found38,TIN_Not_Found38,TL_Not_Found38,,2,Bangladesh,munshiganj,,"Deputy commissioner office, munshiganj",,,"Deputy Commissionar, munshiganj",,dcmunshiganj@mopa.gov.bd,7611100,7612077,munshiganj,,"Deputy commissioner office, munshiganj","Deputy Commissionar, munshiganj",,dcmunshiganj@mopa.gov.bd,7611100,,munshiganj,,"Deputy commissioner office, munshiganj",,,,,,,,
39,719,"Deputy Commissionar, natore",www.natore.gov.bd,Govt.,Organization,dcnatore@mopa.gov.bd,1411111149,77166741,Not_Found39,NID_Not_Found39,TIN_Not_Found39,TL_Not_Found39,,2,Bangladesh,natore,,"Deputy commissioner office, natore",dconatore,dconatore,"Deputy Commissionar, natore",,dcnatore@mopa.gov.bd,77166741,0,natore,,"Deputy commissioner office, natore","Deputy Commissionar, natore",,dcnatore@mopa.gov.bd,77166741,,natore,,"Deputy commissioner office, natore",,,,,,,,
40,711,"Deputy Commissionar, Sylhet",www.Sylhet.gov.bd,Govt.,Organization,dcSylhet@mopa.gov.bd,1411111150,1712079233,Not_Found40,NID_Not_Found40,TIN_Not_Found40,TL_Not_Found40,,2,Bangladesh,Sylhet,,"Deputy commissioner office, Sylhet",dcosylhet,dcosylhet,"Deputy Commissionar, Sylhet",,dcSylhet@mopa.gov.bd,1712079233,726079,Sylhet,,"Deputy commissioner office, Sylhet","Deputy Commissionar, Sylhet",,dcSylhet@mopa.gov.bd,1712079233,,Sylhet,,"Deputy commissioner office, Sylhet",,,,,,,,
41,692,"Deputy Commissionar, chuadanga",www.chuadanga.gov.bd,Govt.,Organization,dcchuadanga@mopa.gov.bd,1411111151,76163111,Not_Found41,NID_Not_Found41,TIN_Not_Found41,TL_Not_Found41,,2,Bangladesh,chuadanga,,"Deputy commissioner office, chuadanga",dcochuadanga,dcochuadanga,"Deputy Commissionar, chuadanga",,dcchuadanga@mopa.gov.bd,76163111,0,chuadanga,,"Deputy commissioner office, chuadanga","Deputy Commissionar, chuadanga",,dcchuadanga@mopa.gov.bd,76163111,,chuadanga,,"Deputy commissioner office, chuadanga",,,,,,,,
42,700,"Deputy Commissionar, faridpur",www.faridpur.gov.bd,Govt.,Organization,dcfaridpur@mopa.gov.bd,1411111152,63163022,Not_Found42,NID_Not_Found42,TIN_Not_Found42,TL_Not_Found42,,2,Bangladesh,faridpur,,"Deputy commissioner office, faridpur",dcofaridpur,dcofaridpur,"Deputy Commissionar, faridpur",,dcfaridpur@mopa.gov.bd,63163022,0,faridpur,,"Deputy commissioner office, faridpur","Deputy Commissionar, faridpur",,dcfaridpur@mopa.gov.bd,63163022,,faridpur,,"Deputy commissioner office, faridpur",,,,,,,,
43,697,"Deputy Commissionar, narsingdi",www.narsingdi.gov.bd,Govt.,Organization,dcnarsingdi@mopa.gov.bd,1411111153,1762687000,Not_Found43,NID_Not_Found43,TIN_Not_Found43,TL_Not_Found43,,2,Bangladesh,narsingdi,,"Deputy commissioner office, narsingdi",dconarsingdi,dconarsingdi,"Deputy Commissionar, narsingdi",,dcnarsingdi@mopa.gov.bd,1762687000,29464433,narsingdi,,"Deputy commissioner office, narsingdi","Deputy Commissionar, narsingdi",,dcnarsingdi@mopa.gov.bd,1762687000,,narsingdi,,"Deputy commissioner office, narsingdi",,,,,,,,
44,696,"Deputy Commissionar, satkhira",www.satkhira.gov.bd,Govt.,Organization,dcsatkhira@mopa.gov.bd,1411111154,47163201,Not_Found44,NID_Not_Found44,TIN_Not_Found44,TL_Not_Found44,,2,Bangladesh,satkhira,,"Deputy commissioner office, satkhira",,,"Deputy Commissionar, satkhira",,dcsatkhira@mopa.gov.bd,47163201,0,satkhira,,"Deputy commissioner office, satkhira","Deputy Commissionar, satkhira",,dcsatkhira@mopa.gov.bd,47163201,,satkhira,,"Deputy commissioner office, satkhira",,,,,,,,
45,706,"Deputy Commissionar, gopalganj",www.gopalganj.gov.bd,Govt.,Organization,dcgopalganj@mopa.gov.bd,1411111155,26685521,Not_Found45,NID_Not_Found45,TIN_Not_Found45,TL_Not_Found45,,2,Bangladesh,gopalganj,,"Deputy commissioner office, gopalganj",dcogopalganj,dcogopalganj,"Deputy Commissionar, gopalganj",,dcgopalganj@mopa.gov.bd,26685521,0,gopalganj,,"Deputy commissioner office, gopalganj","Deputy Commissionar, gopalganj",,dcgopalganj@mopa.gov.bd,26685521,,gopalganj,,"Deputy commissioner office, gopalganj",,,,,,,,
